run_id,timestamp,status,language,srs,n_frs,stack,model,total_seconds,tokens_in,tokens_out,tokens_total,llm_calls,cost_usd,code_files,code_loc,test_features,test_cases,dafny_n_features,dafny_n_verified,dafny_verification_rate,dafny_axioms,verification_seconds,certification_seconds,cert_n,pass@1,case_pass_rate,n_tested_frs,n_proved_features,prove,certify,samples,max_cert_loops,temperature,verification_pass_ratio,test_case_pass_ratio,avg_input_token,avg_output_token,total_time,avg_verification_iter,avg_test_iter,PassVer@1
20260628-033707-dineout-srs,2026-06-28T03:37:07.423308+00:00,complete,java,dineout_srs,26,spring,openai_gpt-4_1,471.453,189354,69399,258753,86,0.9339,16,1197,10,84,10,4,0.4,0,185.926,62.845,1,0.0,0.0,12,4,True,True,1,4,0.0,0.5385,0.0,2201.8,807.0,471.45,2.81,1,0.5385
20260628-191709-kinmail-srs,2026-06-28T19:17:09.202177+00:00,complete,javascript,kinmail_srs,13,express,openai_gpt-5_1,666.241,231472,63997,295469,92,0.074925,13,818,13,57,13,5,0.385,0,425.66,3.184,1,0.375,0.7222222222222222,8,5,True,True,1,4,0.0,0.3846,0.7222,2516.0,695.6,666.24,3.08,1,0.6154
20260628-225107-kinmail-srs,2026-06-28T22:51:07.326830+00:00,complete,javascript,kinmail_srs,13,express,deepseek_deepseek-v3_2,1476.873,183846,54695,238541,83,0.060835,13,646,13,59,13,8,0.615,1,499.303,1.933,1,0.25,0.6666666666666666,4,8,True,True,1,4,0.0,0.6154,0.6667,2215.0,659.0,1476.87,2.38,1,0.6923
20260628-225958-kinmail-srs,2026-06-28T22:59:58.707872+00:00,complete,java,kinmail_srs,13,spring,deepseek_deepseek-v3_2,2002.799,224116,68162,292278,89,0.074671,13,1032,13,46,13,7,0.538,0,639.838,52.476,1,1.0,1.0,5,7,True,True,1,4,0.0,0.5385,1.0,2518.2,765.9,2002.8,2.54,1,0.9231
20260629-110758-g16-srs,2026-06-29T11:07:58.173742+00:00,complete,python,G16-SRS,,fastapi,deepseek_deepseek-v3_2,353.425,13248,9029,22277,6,0.00613,1,287,1,17,1,1,1.0,0,31.341,0.002,1,0.0,0.0,0,1,True,True,1,2,0.0,1.0,0.0,2208.0,1504.8,353.43,1.0,0.0,1.0
20260629-111434-g16-srs,2026-06-29T11:14:34.691855+00:00,complete,java,G16-SRS,,spring,deepseek_deepseek-v3_2,394.627,49252,14032,63284,15,0.016085,5,256,1,14,1,0,0.0,0,212.659,28.566,1,1.0,1.0,5,0,True,True,1,2,0.0,0.0,1.0,3283.5,935.5,394.63,6.0,1,1.0
20260629-111717-foodsaver,2026-06-29T11:17:17.845122+00:00,complete,javascript,foodsaver,37,express,deepseek_deepseek-v3_2,5818.68,813964,181786,995750,272,0.248624,37,1241,37,187,37,21,0.568,2,3057.303,6.876,1,0.5,0.7682926829268293,16,21,True,True,1,2,0.0,0.5676,0.7683,2992.5,668.3,5818.68,3.35,1,0.7838
20260629-111904-g16-srs,2026-06-29T11:19:04.282907+00:00,complete,javascript,G16-SRS,,express,deepseek_deepseek-v3_2,267.747,44783,13165,57948,15,0.014765,5,222,1,21,1,0,0.0,0,113.85,1.846,1,0.2,0.5238095238095238,5,0,True,True,1,2,0.0,0.0,0.5238,2985.5,877.7,267.75,6.0,1,0.2
20260629-114306-srs-software-requirement-specification,2026-06-29T11:43:06.408024+00:00,complete,python,SRS (Software Requirement Specification),,python,deepseek_deepseek-v3_2,636.442,47374,23490,70864,25,0.018901,6,173,1,19,1,1,1.0,0,54.561,1.17,1,0.0,0.10526315789473684,6,1,True,True,1,2,0.0,1.0,0.1053,1895.0,939.6,636.44,3.0,3,1.0
20260629-114323-foodsaver,2026-06-29T11:43:23.885600+00:00,complete,java,foodsaver,37,spring,deepseek_deepseek-v3_2,7706.234,1039951,229041,1268992,310,0.316548,37,2899,37,165,37,20,0.541,1,2925.48,102.894,1,0.0,0.0,16,20,True,True,1,2,0.0,0.5405,0.0,3354.7,738.8,7706.23,3.62,1,0.5405
